,name,alcohol_impaired_driving_deaths,high_school_graduation,unemployment,median_household_income,children_in_single_parent_households,social_associations,drug_overdose_deaths,disconnected_youth,homicides,suicides,population,population_density,below_18_years_of_age,X65_and_older,non_hispanic_black,american_indian_or_alaska_native,hispanic,female,excessive_drinking,adult_smoking
2491,Monroe County,0.179104478,0.86,0.034482759,56047,0.234977207,11.13538053,41.30465746,0.141828005,,18.75955272,47740,75.08958027,0.204105572,0.219983243,0.019271052,0.0065354,0.048072895,0.501612903,0.145982975,0.239
2492,Montgomery County,0.335664336,0.93,0.037215854,67478,0.271670457,6.099166301,43.00124089,0.075622476,9.056411767,20.97631046,235201,436.228562,0.265717408,0.100076105,0.210449786,0.007334153,0.113077751,0.499470666,0.168355025,0.184
2493,Moore County,0.333333333,0.925,0.024681313,68086,0.19418239,6.020469597,,,,34.09023935,6742,52.17355922,0.198309107,0.220854346,0.022990211,0.00415307,0.019875408,0.504301394,0.1428224,0.22
2494,Morgan County,0.5,0.98,0.038113448,59967,0.305748266,7.998494401,39.00886281,,,18.99544878,21224,40.64499768,0.190727478,0.19190539,0.035667169,0.005512627,0.019553336,0.455003769,0.149889017,0.268
2495,Obion County,0.266666667,0.878601695,0.038516068,50159,0.284520078,14.77056391,11.02949286,,,12.83704122,30394,55.78439231,0.215535961,0.210995591,0.10400079,0.003684938,0.054648944,0.512864381,0.134396431,0.25
2496,Overton County,0.058823529,0.9,0.033877919,52108,0.258098443,7.881255747,25.13082814,0.176681614,,22.80563615,23044,53.15954001,0.208774518,0.204044437,0.008114911,0.005337615,0.02226176,0.496788752,0.139388573,0.257
2497,Perry County,0.352941177,0.825,0.053887884,46448,0.105738576,4.721435316,,,,,8685,20.93957647,0.222682786,0.212435233,0.02855498,0.007253886,0.027173287,0.494876223,0.139887113,0.267
2498,Pickett County,0.2,,0.038073395,47932,0.123333333,7.875566056,,,,,5107,31.33704123,0.170158606,0.2813785,0.003916194,0.004307813,0.0242804,0.500293715,0.127990356,0.258
2499,Polk County,0.296296296,0.875,0.037331441,55146,0.293809939,13.50135014,,,8.428647286,26.12457941,17863,41.10165782,0.189497845,0.213569949,0.007669484,0.005766109,0.022840508,0.501539495,0.151666145,0.23
2500,Putnam County,0.25,0.92,0.033632921,54996,0.244132312,11.08538208,30.53283931,0.044312881,2.730435068,19.08780396,82382,205.3869423,0.203236144,0.166529096,0.022092205,0.008278507,0.072491564,0.49813066,0.157877887,0.219
2501,Rhea County,0.2,0.83,0.042507205,59207,0.302245488,10.56253018,36.09167285,,,15.0617135,33730,106.9188234,0.217491847,0.193240439,0.01968574,0.006522384,0.058078862,0.498221168,0.138468184,0.238
2502,Roane County,0.327272727,0.9,0.036623869,63430,0.188317524,12.03882057,60.1680985,0.120952009,,24.52126122,55082,152.6796506,0.186376675,0.236084383,0.027032424,0.004538688,0.026233615,0.504230057,0.143202301,0.21
2503,Robertson County,0.333333333,0.87,0.028336777,77326,0.215846837,9.716861454,46.74910398,0.077857537,4.425579852,20.56251068,75470,158.4386742,0.235590301,0.154604479,0.074559428,0.006731152,0.083675633,0.501709289,0.160537891,0.208
2504,Rutherford County,0.240223464,0.95,0.027113947,77320,0.224937882,6.701080691,35.45863745,0.053456398,5.412212592,14.41772911,360619,582.3324977,0.241709394,0.114328419,0.16578716,0.005984155,0.099905995,0.50639872,0.169179006,0.177
